,URL,location,price,align,area,date_pub,date_in,detail,source,payway
0,http://www.107room.com/r353057,q,1400,2室 1厅 1厨 1卫,15 m2,2017年08月13日,0,"
 房子住着清净小区环境好，周边设施方便，紧邻木樨地地铁因本人换工作，需紧急出租，价格可商议 
",False,1
1,http://www.107room.com/r349967,c,2000,4室 1厅 1厨 2卫,12 m2 / 116 m2,2017年08月07日,2017/08/10,"
 因工作调动现转租房子，长椿街槐柏树街南里小区，次卧，2000元，男女不限，双人床，无中介费一共四家合租，两卫，复式楼，可做饭，室友均为正当工作人士。房东阿姨很好，有啥坏了东西随时来修。由于合同签到2018年6月15，所以得转租到那个时候，直接和房东签合同。因工作原因，烦请尽量短信联系，晚上6点后可电话联系 
",False,1
2,http://www.107room.com/r343459,c,3000,3室 1厅 1厨 1卫,22 m2,2017年07月25日,0,"
 因为工作调动，所以转租住房，三居合租，主卧带阳台，月底入住，随时可以联系我看房 
",False,1
3,http://www.107room.com/r175543,x,2500,3室 1厅 1厨 1卫,15 m2 / 79 m2,2017年08月11日,2017/08/11,"
 #寻找中国好租客#【西直门地铁站附近卧室出租】⚠️九月底可租 西直门地铁站附近，三室一厅房的两间卧室分别出租，地段绝佳，设施齐全，五分钟可走到西直门地铁，六七分钟到车公庄六号线！人民医院西门旁边，西边五十米就是西城外国语学校！屋子内干净  小区较老 设施稍有些旧 厅不大 两间次卧分别出租房东直租，无其他费用. 
",True,1
4,http://www.107room.com/r347813,x,2600,3室 1厅 1厨 1卫,28 m2,2017年08月02日,0,"
 租的个人房,因工作变动要搬走,这个月22号到期,屋里两个双人床两个衣柜,空间挺大的,适合小姐妹或者情侣居住,情侣居住可以再撤掉一个床空间更大了。自己住也是很合适的,手机号同vx,看房打电话或加vx都可以(房租是押一付一)交通挺方便的离地铁公交站都近 
",False,1
5,http://www.107room.com/r353756,w,1000,1室 1厅 1厨 1卫,35 m2 / 60 m2,2017年08月19日,2017/09/02,"
 王府井附近附近有公交地铁站，交通方便早餐、菜市场、超市，生活便利 
",False,1
6,http://www.107room.com/r352475,q,2000,4室 1厅 1厨 1卫,14 m2,2017年08月12日,0,"
 中介勿扰。房屋情况：屋里有隔断，但我这屋全部实墙，带阳台可以晾衣服养宠物，面积14平，其他见图片或直接电话问我。有两个衣柜我全搬到阳台了，这样屋里地方大点，你要有什么小桌子沙发的还可以放下。因为我是要离开北京所以转租，很多东西如果你需要我都可以留下来送你。窗帘我自己买的，可以免费送你。我自己还有一个衣柜如果你衣服多我可以便宜卖。看房时间提前预约。费用情况：和，房东非常好。不需要中介费，押一付三，2000月。我租到9月5号，但是9月2号就可以搬进来。房租直接给房东。交通：近的地铁站是南边7号线的达观营站，也有各路公交车，直达西单等，离牛街一站地铁。北边一出小区还有各路公交站，673特14两站就到地铁2号线长椿街站，离北京西一站公交，北京南四站地铁。属于西城区。周围设施：楼下有小超市，还有很大的菜市场。走到达观营就有华联商厦，希尔顿下面就是天虹超市。非常方便。地铁站隔壁就是中国话剧院。 
",False,1
7,http://www.107room.com/r352503,q,2300,3室 1厅 1厨 1卫,16 m2,2017年08月24日,0,"
 转租，因个人工作原因转租，地铁达官营南200米，交通便利周边天虹商场，华联商场购物方便。家电家具齐全。电话预约看房。无中介费个人转租 
",False,1
8,http://www.107room.com/r353859,q,2600,2室 1厅 1厨 1卫,10 m2,2017年08月15日,0,"
 丰台西三环六里桥西局玉璞家园65平两居室温馨新房首次出租，近立泽商务圈，精装修，家具家电齐全，可拎包入住。交通便利，购物方便，周围有地铁9、10、14号线，距离10号线六里桥站步行仅10分钟，距离西三环主路西局公交站步行仅5分钟，周边有安安商场，易初莲花，恒泰广场、物美超市，西局玉璞公园。本人已入住，现寻一个或两个室友一起居住！有意向请联系！ 
",False,1
9,http://www.107room.com/263701,q,2600,1室 1厅 1厨 1卫,20 m2,2017年08月13日,2017/08/14,"
 房东直租，无中介费房间：主卧，独立阳台适合人群：广安门附近，金融街附近（骑自行车15-20分钟）交通：楼下就是广安门南站台，7号线：广安门内站，达官营站朝向楼层：东  中层/共6层详细地址：北京市西城区白菜湾四巷17号院配置：床、衣柜、、电视、冰箱、洗衣机、空调、热水器、宽带、暖气、独立阳台备注：备注：房东人特好相处，非常nice，希望您也是爱干净，安静的人哦，谢谢。 
",False,1
